 Time, Is_CH, who CH, ADV_S, ADV_R, JOIN_R, SCH_S, DATA_R, Data_Sent_To_BS, dist_CH_To_BS,Expaned Energy,Attack type
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
53,1,101012,1,0,4,4,0,0,0.00228,0.0,TDMA
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
53,1,101012,1,0,4,4,0,0,0.00228,0.0,TDMA
53,1,101012,1,0,4,4,0,0,0.00228,0.0,TDMA
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
153,1,100303,23,4,1866,2,29,21,85.1797,2.1059,TDMA
153,1,103003,24,4,19,1866,29,5,85.1797,2.0915,TDMA
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
53,1,101012,1,0,4,4,0,0,0.0,0.00228,TDMA
153,1,103003,1,4,22,1,1166,29,85.18797,2.06959,Grayhole
53,1,101012,1,0,4,4,0,0,0.0,0.00228,TDMA
103,1,102041,1,3,93,1,1302,0,0.0,0.00726,Blackhole
53,1,101012,1,0,4,4,0,0,0.0,0.00228,TDMA
103,1,102027,20,28,0,0,903,13,102.3431,1.79212,Grayhole
103,1,102027,20,28,0,0,903,13,102.3431,1.79212,Flooding
103,1,102027,20,28,0,0,903,13,102.3431,1.79212,Grayhole
103,1,102027,20,28,0,0,903,13,102.3431,1.79212,Grayhole
103,1,102027,20,28,0,0,903,13,102.3431,1.79212,Grayhole
103,1,102027,20,28,0,0,903,13,102.3431,1.79212,Grayhole
103,1,102032,21,22,59,1,1298,22,143.4233,2.28249,Flooding
103,1,102041,1,3,93,1,1302,0,0.00726,0.0,Blackhole
53,1,101012,1,0,4,4,0,0,0.00228,0.0,TDMA
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
103,1,102032,21,22,59,1,1298,22,143.4233,2.28249,Flooding
53,1,101012,1,0,4,4,0,0,0.0,0.00228,TDMA
103,1,102041,1,3,93,1,1302,0,0.0,0.00726,Blackhole
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
103,1,102041,1,3,93,1,1302,0,0.00726,0.0,Blackhole
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
153,1,103003,1,4,22,1,1166,29,85.19787,2.06959,Grayhole
